NumPathsCalculated, NumIterations, NumPathsSuccess, NumPathsBlocked, PathCalcTime, NumNodes, NodesUsedInPath, IsNewGoal
62,7993,62,7073,17.752,921,18,1
63,4111,63,3599,17.951,513,7,0
64,5617,64,4901,18.267,717,32,1
65,3990,65,3484,18.479,507,13,0
66,4732,66,4001,18.774,732,12,1
67,4169,67,3614,18.974,556,8,0
68,10085,68,8852,19.618,1234,22,1
69,4098,69,3544,19.789,555,15,0
70,4911,70,4287,20.112,625,7,0
71,6757,71,5893,20.468,865,27,1
72,3961,72,3393,20.701,569,13,0
73,3738,73,3232,20.942,507,4,0
74,4886,74,4268,21.197,619,17,1
75,3534,75,2992,21.385,543,6,0
76,4740,76,4103,21.741,638,10,1
